idx,consumption
0,56
0,55
0,52
0,46
0,41
0,36
0,34
0,33
0,33
0,35
0,41
0,46
0,46
0,44
0,44
0,44
0,44
0,44
0,43
0,43
0,44
0,47
0,52
1,61
1,59
1,54
1,47
1,41
1,38
1,35
1,34
1,34
1,37
1,43
1,49
1,48
1,45
1,45
1,44
1,44
1,44
1,43
1,44
1,45
1,47
1,53
2,60
2,58
2,53
2,46
2,40
2,35
2,33
2,31
2,31
2,33
2,39
2,44
2,43
2,42
2,43
2,43
2,43
2,43
2,43
2,43
2,45
2,47
2,52
3,60
3,58
3,53
3,47
3,41
3,37
3,35
3,35
3,35
3,38
3,44
3,50
3,50
3,47
3,46
3,45
3,44
3,44
3,43
3,44
3,45
3,47
3,52
4,60
4,58
4,53
4,47
4,40
4,36
4,34
4,32
4,33
4,35
4,41
4,46
4,45
4,44
4,44
4,44
4,45
4,46
4,47
4,48
4,50
4,53
4,55
5,59
5,56
5,51
5,47
5,42
5,37
5,34
5,32
5,31
5,31
5,33
5,35
5,37
5,41
5,46
5,48
5,51
5,53
5,55
5,56
5,57
5,57
5,58
6,59
6,56
6,52
6,49
6,44
6,40
6,37
6,34
6,33
6,33
6,33
6,34
6,37
6,44
6,51
6,55
6,60
6,62
6,64
6,64
6,62
6,62
6,64
7,68
7,66
7,63
7,57
7,50
7,44
7,40
7,37
7,36
7,37
7,41
7,46
7,45
7,46
7,52
7,54
7,58
7,61
7,64
7,64
7,64
7,65
7,69
8,73
8,70
8,65
8,59
8,51
8,45
8,40
8,37
8,36
8,37
8,41
8,45
8,44
8,46
8,50
8,54
8,57
8,61
8,65
8,67
8,68
8,70
8,71
9,75
9,72
9,67
9,60
9,52
9,46
9,41
9,38
9,37
9,38
9,41
9,46
9,45
9,47
9,52
9,56
9,61
9,65
9,67
9,69
9,70
9,70
9,70
10,71
10,68
10,64
10,59
10,54
10,48
10,43
10,40
10,38
10,38
10,39
10,41
10,42
10,48
10,54
10,57
10,60
10,63
10,66
10,69
10,69
10,68
10,66
11,66
11,63
11,61
11,57
11,52
11,46
11,41
11,38
11,36
11,35
11,35
11,36
11,38
11,45
11,53
11,57
11,62
11,66
11,70
11,74
11,75
11,74
11,72
12,67
12,60
12,55
12,51
12,48
12,45
12,42
12,39
12,36
12,35
12,35
12,36
12,36
12,41
12,48
12,54
12,59
12,63
12,67
12,69
12,69
12,66
12,63
13,64
13,61
13,58
13,53
13,48
13,44
13,40
13,37
13,36
13,37
13,38
13,40
13,40
13,44
13,49
13,55
13,59
13,63
13,65
13,67
13,67
13,67
13,68
14,71
14,68
14,63
14,58
14,52
14,47
14,43
14,40
14,38
14,38
14,39
14,41
14,40
14,45
14,51
14,56
14,61
14,65
14,68
14,70
14,70
14,69
14,70
15,74
15,71
15,66
15,60
15,54
15,48
15,44
15,40
15,39
15,39
15,41
15,42
15,41
15,45
15,50
15,55
15,59
15,63
15,66
15,67
15,68
15,68
15,68
16,72
16,68
16,64
16,59
16,52
16,47
16,42
16,40
16,38
16,39
16,40
16,41
16,41
16,43
16,46
16,50
16,54
16,57
16,60
16,61
16,61
16,60
16,60
17,62
17,59
17,55
17,51
17,46
17,41
17,37
17,35
17,33
17,33
17,34
17,35
17,35
17,38
17,42
17,46
17,48
17,50
17,51
17,51
17,52
17,52
17,52
18,55
18,53
18,50
18,47
18,43
18,39
18,35
18,33
18,31
18,31
18,31
18,32
18,34
18,39
18,44
18,47
18,48
18,51
18,52
18,54
18,55
18,56
18,58
19,62
19,59
19,55
19,50
19,44
19,39
19,35
19,33
19,31
19,32
19,34
19,36
19,36
19,38
19,40
19,42
19,44
19,45
19,45
19,46
19,47
19,49
19,53
20,58
20,56
20,52
20,47
20,42
20,38
20,35
20,33
20,32
20,33
20,36
20,38
20,38
20,39
20,41
20,43
20,44
20,45
20,45
20,44
20,45
20,46
20,50
21,57
21,54
21,51
21,46
21,41
21,37
21,35
21,34
21,34
21,35
21,39
21,43
21,44
21,45
21,47
21,48
21,48
21,47
21,46
21,45
21,45
21,47
21,52
22,61
22,59
22,55
22,51
22,46
22,42
22,40
22,39
22,39
22,41
22,45
22,48
22,50
22,51
22,51
22,51
22,50
22,49
22,47
22,46
22,46
22,47
22,51
23,61
23,58
23,55
23,51
23,48
23,44
23,41
23,40
23,40
23,40
23,42
23,45
23,46
23,49
23,50
23,51
23,49
23,48
23,47
23,46
23,47
23,47
23,51
24,54
24,52
24,50
24,47
24,43
24,40
24,37
24,36
24,35
24,36
24,37
24,40
24,41
24,45
24,47
24,48
24,48
24,48
24,48
24,47
24,47
24,47
24,50
25,56
25,54
25,50
25,45
25,39
25,34
25,32
25,30
25,30
25,32
25,38
25,43
25,42
25,41
25,44
25,46
25,47
25,48
25,49
25,49
25,50
25,53
25,57
26,64
26,62
26,57
26,50
26,43
26,38
26,35
26,33
26,32
26,34
26,38
26,43
26,43
26,42
26,44
26,46
26,49
26,51
26,53
26,52
26,52
26,55
26,58
27,66
27,63
27,57
27,51
27,44
27,39
27,35
27,34
27,33
27,35
27,39
27,44
27,43
27,42
27,45
27,47
27,49
27,51
27,52
27,52
27,54
27,56
27,60
28,68
28,65
28,60
28,53
28,47
28,41
28,37
28,34
28,33
28,35
28,39
28,44
28,43
28,44
28,48
28,52
28,55
28,58
28,60
28,61
28,61
28,63
28,65
29,72
29,69
29,63
29,57
29,50
29,44
29,40
29,38
29,38
29,39
29,43
29,48
29,48
29,48
29,54
29,55
29,58
29,61
29,62
29,62
29,60
29,59
29,62
30,68
30,65
30,59
30,55
30,50
30,45
30,41
30,38
30,36
30,35
30,36
30,38
30,37
30,42
30,48
30,51
30,54
30,56
30,58
30,60
30,61
30,60
30,59
31,59
31,55
31,52
31,48
31,43
31,38
31,34
31,31
31,30
31,30
31,30
31,32
31,33
31,39
31,44
31,47
31,47
31,48
31,48
31,49
31,49
31,49
31,49
32,53
32,50
32,48
32,44
32,39
32,35
32,32
32,31
32,30
32,32
32,35
32,37
32,38
32,40
32,43
32,45
32,47
32,48
32,49
32,50
32,50
32,52
32,55
33,62
33,60
33,54
33,47
33,41
33,36
33,32
33,31
33,30
33,32
33,37
33,42
33,42
33,41
33,43
33,45
33,46
33,48
33,49
33,50
33,51
33,52
33,55
34,63
34,60
34,54
34,47
34,40
34,36
34,33
34,31
34,30
34,32
34,37
34,42
34,41
34,40
34,42
34,43
34,45
34,46
34,47
34,48
34,48
34,49
34,53
35,61
35,58
35,52
35,46
35,39
35,34
35,32
35,31
35,31
35,34
35,40
35,47
35,47
35,46
35,47
35,47
35,46
35,45
35,44
35,43
35,44
35,47
35,51
36,61
36,59
36,54
36,48
36,42
36,38
36,36
36,35
36,36
36,38
36,44
36,50
36,50
36,47
36,48
36,46
36,46
36,45
36,45
36,44
36,45
36,46
36,50
37,56
37,54
37,49
37,45
37,41
37,37
37,34
37,32
37,31
37,32
37,33
37,36
37,37
37,41
37,44
37,46
37,47
37,48
37,48
37,48
37,48
37,49
37,50
38,54
38,51
38,48
38,45
38,41
38,37
38,34
38,32
38,32
38,32
38,32
38,34
38,35
38,41
38,47
38,51
38,53
38,54
38,56
38,57
38,57
38,57
38,57
39,63
39,61
39,58
39,52
39,46
39,40
39,36
39,35
39,34
39,35
39,41
39,45
39,44
39,44
39,49
39,52
39,54
39,57
39,59
39,61
39,63
39,65
39,65
40,73
40,70
40,64
40,58
40,50
40,44
40,41
40,38
40,37
40,39
40,43
40,49
40,47
40,47
40,50
40,54
40,59
40,62
40,64
40,67
40,69
40,71
40,72
41,77
41,74
41,68
41,60
41,52
41,46
41,42
41,40
41,38
41,39
41,44
41,48
41,46
41,45
41,46
41,48
41,53
41,56
41,60
41,61
41,62
41,64
41,67
42,74
42,72
42,66
42,59
42,52
42,45
42,42
42,38
42,37
42,38
42,42
42,46
42,43
42,42
42,45
42,48
42,49
42,49
42,49
42,49
42,49
42,51
42,55
43,64
43,62
43,56
43,51
43,44
43,39
43,36
43,34
43,33
43,35
