,idx,target
0,0,55
1,0,52
2,0,46
3,0,41
4,0,36
5,0,34
6,0,33
7,0,33
8,0,35
9,0,41
10,0,46
11,0,46
12,0,44
13,0,44
14,0,44
15,0,44
16,0,44
17,0,43
18,0,43
19,0,44
20,0,47
21,0,52
22,1,59
23,1,54
24,1,47
25,1,41
26,1,38
27,1,35
28,1,34
29,1,34
30,1,37
31,1,43
32,1,49
33,1,48
34,1,45
35,1,45
36,1,44
37,1,44
38,1,44
39,1,43
40,1,44
41,1,45
42,1,47
43,1,53
44,2,58
45,2,53
46,2,46
47,2,40
48,2,35
49,2,33
50,2,31
51,2,31
52,2,33
53,2,39
54,2,44
55,2,43
56,2,42
57,2,43
58,2,43
59,2,43
60,2,43
61,2,43
62,2,43
63,2,45
64,2,47
65,2,52
66,3,58
67,3,53
68,3,47
69,3,41
70,3,37
71,3,35
72,3,35
73,3,35
74,3,38
75,3,44
76,3,50
77,3,50
78,3,47
79,3,46
80,3,45
81,3,44
82,3,44
83,3,43
84,3,44
85,3,45
86,3,47
87,3,52
88,4,58
89,4,53
90,4,47
91,4,40
92,4,36
93,4,34
94,4,32
95,4,33
96,4,35
97,4,41
98,4,46
99,4,45
100,4,44
101,4,44
102,4,44
103,4,45
104,4,46
105,4,47
106,4,48
107,4,50
108,4,53
109,4,55
110,5,56
111,5,51
112,5,47
113,5,42
114,5,37
115,5,34
116,5,32
117,5,31
118,5,31
119,5,33
120,5,35
121,5,37
122,5,41
123,5,46
124,5,48
125,5,51
126,5,53
127,5,55
128,5,56
129,5,57
130,5,57
131,5,58
132,6,56
133,6,52
134,6,49
135,6,44
136,6,40
137,6,37
138,6,34
139,6,33
140,6,33
141,6,33
142,6,34
143,6,37
144,6,44
145,6,51
146,6,55
147,6,60
148,6,62
149,6,64
150,6,64
151,6,62
152,6,62
153,6,64
154,7,66
155,7,63
156,7,57
157,7,50
158,7,44
159,7,40
160,7,37
161,7,36
162,7,37
163,7,41
164,7,46
165,7,45
166,7,46
167,7,52
168,7,54
169,7,58
170,7,61
171,7,64
172,7,64
173,7,64
174,7,65
175,7,69
176,8,70
177,8,65
178,8,59
179,8,51
180,8,45
181,8,40
182,8,37
183,8,36
184,8,37
185,8,41
186,8,45
187,8,44
188,8,46
189,8,50
190,8,54
191,8,57
192,8,61
193,8,65
194,8,67
195,8,68
196,8,70
197,8,71
198,9,72
199,9,67
200,9,60
201,9,52
202,9,46
203,9,41
204,9,38
205,9,37
206,9,38
207,9,41
208,9,46
209,9,45
210,9,47
211,9,52
212,9,56
213,9,61
214,9,65
215,9,67
216,9,69
217,9,70
218,9,70
219,9,70
220,10,68
221,10,64
222,10,59
223,10,54
224,10,48
225,10,43
226,10,40
227,10,38
228,10,38
229,10,39
230,10,41
231,10,42
232,10,48
233,10,54
234,10,57
235,10,60
236,10,63
237,10,66
238,10,69
239,10,69
240,10,68
241,10,66
242,11,63
243,11,61
244,11,57
245,11,52
246,11,46
247,11,41
248,11,38
249,11,36
250,11,35
251,11,35
252,11,36
253,11,38
254,11,45
255,11,53
256,11,57
257,11,62
258,11,66
259,11,70
260,11,74
261,11,75
262,11,74
263,11,72
264,12,60
265,12,55
266,12,51
267,12,48
268,12,45
269,12,42
270,12,39
271,12,36
272,12,35
273,12,35
274,12,36
275,12,36
276,12,41
277,12,48
278,12,54
279,12,59
280,12,63
281,12,67
282,12,69
283,12,69
284,12,66
285,12,63
286,13,61
287,13,58
288,13,53
289,13,48
290,13,44
291,13,40
292,13,37
293,13,36
294,13,37
295,13,38
296,13,40
297,13,40
298,13,44
299,13,49
300,13,55
301,13,59
302,13,63
303,13,65
304,13,67
305,13,67
306,13,67
307,13,68
308,14,68
309,14,63
310,14,58
311,14,52
312,14,47
313,14,43
314,14,40
315,14,38
316,14,38
317,14,39
318,14,41
319,14,40
320,14,45
321,14,51
322,14,56
323,14,61
324,14,65
325,14,68
326,14,70
327,14,70
328,14,69
329,14,70
330,15,71
331,15,66
332,15,60
