idx,pm2.5
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
0,129
1,148
1,159
1,181
1,138
1,109
1,105
1,124
1,120
1,132
1,140
1,152
1,148
1,164
1,158
1,154
1,159
1,164
1,170
1,149
1,154
1,164
1,156
1,126
2,63
2,65
2,55
2,65
2,83
2,91
2,86
2,82
2,86
2,78
2,98
2,107
2,90
2,96
2,95
2,86
2,70
2,61
2,53
2,71
2,72
2,76
2,73
3,58
3,25
3,26
3,28
3,26
3,20
3,29
3,26
3,27
3,27
3,25
3,29
3,32
3,28
3,29
3,30
3,30
3,28
3,26
3,31
3,33
3,29
3,31
4,34
4,27
4,25
4,28
4,28
4,27
4,27
4,27
4,29
4,36
4,30
4,27
4,39
4,41
4,33
4,50
4,56
4,59
4,60
4,84
4,106
4,66
4,50
5,77
5,50
5,44
5,27
5,28
5,21
5,25
5,20
5,29
5,34
5,42
5,28
5,36
5,48
5,49
5,52
5,56
5,96
5,75
5,105
5,132
5,93
5,131
6,130
6,43
6,37
6,30
6,28
6,24
6,23
6,24
6,27
6,40
6,42
6,42
6,55
6,52
6,51
6,57
6,50
6,54
6,67
6,106
6,159
6,198
6,190
7,195
7,275
7,164
7,110
7,100
7,81
7,71
7,66
7,92
7,135
7,155
7,198
7,250
7,200
7,231
7,250
7,212
7,219
7,227
7,226
7,225
7,168
7,169
8,159
8,167
8,196
8,169
8,155
8,119
8,106
8,93
8,84
8,73
8,66
8,40
8,49
8,50
8,49
8,41
8,37
8,45
8,44
8,54
8,50
8,47
8,66
9,82
9,66
9,83
9,62
9,40
9,23
9,25
9,27
9,35
9,50
9,70
9,75
9,58
9,70
9,68
9,71
9,88
9,84
9,83
9,66
9,27
9,24
9,22
10,27
10,23
10,17
10,17
10,16
10,16
10,20
10,20
10,18
10,25
10,26
10,27
10,28
10,15
10,24
10,13
10,13
10,13
10,17
10,20
10,27
10,20
10,15
11,21
11,37
11,26
11,15
11,9
11,11
11,11
11,16
11,13
11,15
11,21
11,24
11,22
11,22
11,22
11,19
11,23
11,25
11,25
11,31
11,25
11,22
11,22
12,16
12,11
12,11
12,12
12,11
12,12
12,27
12,28
12,34
12,33
12,36
12,26
12,49
12,52
12,47
12,47
12,39
12,59
12,76
12,96
12,95
