idx,target
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
0,129.0
1,159.0
1,181.0
1,138.0
1,109.0
1,105.0
1,124.0
1,120.0
1,132.0
1,140.0
1,152.0
1,148.0
1,164.0
1,158.0
1,154.0
1,159.0
1,164.0
1,170.0
1,149.0
1,154.0
1,164.0
1,156.0
1,126.0
2,65.0
2,55.0
2,65.0
2,83.0
2,91.0
2,86.0
2,82.0
2,86.0
2,78.0
2,98.0
2,107.0
2,90.0
2,96.0
2,95.0
2,86.0
2,70.0
2,61.0
2,53.0
2,71.0
2,72.0
2,76.0
2,73.0
3,25.0
3,26.0
3,28.0
3,26.0
3,20.0
3,29.0
3,26.0
3,27.0
3,27.0
3,25.0
3,29.0
3,32.0
3,28.0
3,29.0
3,30.0
3,30.0
3,28.0
3,26.0
3,31.0
3,33.0
3,29.0
3,31.0
4,27.0
4,25.0
4,28.0
4,28.0
4,27.0
4,27.0
4,27.0
4,29.0
4,36.0
4,30.0
4,27.0
4,39.0
4,41.0
4,33.0
4,50.0
4,56.0
4,59.0
4,60.0
4,84.0
4,106.0
4,66.0
4,50.0
5,50.0
5,44.0
5,27.0
5,28.0
5,21.0
5,25.0
5,20.0
5,29.0
5,34.0
5,42.0
5,28.0
5,36.0
5,48.0
5,49.0
5,52.0
5,56.0
5,96.0
5,75.0
5,105.0
5,132.0
5,93.0
5,131.0
6,43.0
6,37.0
6,30.0
6,28.0
6,24.0
6,23.0
6,24.0
6,27.0
6,40.0
6,42.0
6,42.0
6,55.0
6,52.0
6,51.0
6,57.0
6,50.0
6,54.0
6,67.0
6,106.0
6,159.0
6,198.0
6,190.0
7,275.0
7,164.0
7,110.0
7,100.0
7,81.0
7,71.0
7,66.0
7,92.0
7,135.0
7,155.0
7,198.0
7,250.0
7,200.0
7,231.0
7,250.0
7,212.0
7,219.0
7,227.0
7,226.0
7,225.0
7,168.0
7,169.0
8,167.0
8,196.0
8,169.0
8,155.0
8,119.0
8,106.0
8,93.0
8,84.0
8,73.0
8,66.0
8,40.0
8,49.0
8,50.0
8,49.0
8,41.0
8,37.0
8,45.0
8,44.0
8,54.0
8,50.0
8,47.0
8,66.0
9,66.0
9,83.0
9,62.0
9,40.0
9,23.0
9,25.0
9,27.0
9,35.0
9,50.0
9,70.0
9,75.0
9,58.0
9,70.0
9,68.0
9,71.0
9,88.0
9,84.0
9,83.0
9,66.0
9,27.0
9,24.0
9,22.0
10,23.0
10,17.0
10,17.0
10,16.0
10,16.0
10,20.0
10,20.0
10,18.0
10,25.0
10,26.0
10,27.0
10,28.0
10,15.0
10,24.0
10,13.0
10,13.0
10,13.0
10,17.0
10,20.0
10,27.0
10,20.0
10,15.0
11,37.0
11,26.0
11,15.0
11,9.0
11,11.0
11,11.0
11,16.0
11,13.0
11,15.0
11,21.0
11,24.0
11,22.0
11,22.0
11,22.0
11,19.0
11,23.0
11,25.0
11,25.0
11,31.0
11,25.0
